0.01,0.1,0.181,0.301,0.434,0.522,0.624,0.724,0.796,0.898,,,,,,,,,,,
0,0.092,0.19,0.323,0.409,0.489,0.617,0.718,0.827,0.922,,,,,,,,,,,
0.01,0,0.019,0.001,0.034,0.022,0.024,0.024,0.004,0.002,,,,,,,,,,,
0,0.008,0.01,0.023,0.009,0.011,0.017,0.018,0.027,0.022,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BMOSUM,,,,,,,,,,,BCUSUM,,,,,,,,,
0.01,0,0.019,0.001,0.034,0.022,0.024,0.024,0.004,0.002,,0,0.008,0.01,0.023,0.009,0.011,0.017,0.018,0.027,0.022
0.004,0.016,0.036,0.013,0.014,0.003,0.006,0.004,0.011,0.001,,0.003,0.069,0.014,0.015,0.023,0.016,0.002,0.009,0,0.013
0.014,0.024,0.035,0.02,0.01,0.008,0.021,0.001,0.027,0.017,,0.169,0.076,0.034,0.064,0.007,0.014,0.012,0.031,0.028,0.012
0.003,0.007,0.004,0.005,0.004,0.015,0.024,0.007,0.015,0.014,,0.006,0.015,0.021,0.019,0.005,0.018,0.014,0.019,0.019,0.018
0.008,0,0.037,0.055,0.005,0.024,0.009,0.026,0.013,0,,0.004,0.011,0.006,0.027,0.015,0.013,0.007,0.012,0,0.022
0.001,0.024,0.013,0.004,0.001,0.013,0.003,0.029,0.008,0.006,,0.005,0.006,0.013,0.026,0.009,0.034,0.016,0.026,0.047,0.001
0.009,0.002,0.005,0,0.009,0.006,0.005,0.025,0.024,0.001,,0.007,0.001,0.018,0.028,0.036,0.003,0.011,0.013,0.026,0.001
0.003,0.004,0.012,0.01,0.01,0.012,0.014,0.004,0.015,0.004,,0.003,0.006,0.023,0.018,0.028,0.003,0.034,0.005,0.016,0.006
0.001,0.001,0.009,0.002,0.008,0.019,0.032,0.023,0,0.001,,0.012,0.024,0.021,0.043,0.026,0.002,0.016,0.021,0.027,0.005
