0.984,0.995,0.882,0.758,0.47,0.363,0.224,0.006
0.979,0.992,0.986,0.832,0.537,0.43,0.265,0.013
0.948,0.923,0.826,0.64,0.331,0.172,0.035,0
0.968,0.942,0.875,0.842,0.54,0.195,0.07,0.01
0.887,0.851,0.872,0.604,0.277,0.078,0.036,0.003
0.938,0.906,0.935,0.703,0.283,0.159,0.008,0.001
0.955,0.949,0.798,0.785,0.445,0.016,0.022,0
0.891,0.904,0.798,0.731,0.44,0.106,0.028,0
0.965,0.952,0.897,0.812,0.433,0.067,0.008,0
0.979,0.993,0.824,0.737,0.488,0.283,0.065,0
0.923,0.895,0.816,0.641,0.265,0.048,0.002,0
0.97,0.925,0.83,0.626,0.398,0.133,0.005,0
